,count,mean,std,min,25%,50%,75%,max
education_spending_gdp,268.0,4.912313432835821,0.9884906317751689,2.5,4.3,4.9,5.5,7.8
education_spending_totalexp,265.0,11.272,3.9748360357306263,5.275,7.95,10.52,14.566666666666668,22.666666666666668
gdp_growth,297.0,2.6144781144781146,3.725409348135425,-10.9,1.1,2.5,4.1,24.6
gdp_per_capita,297.0,102.01346801346801,43.28253916278707,48.0,75.0,91.0,118.0,280.0
tertiary_attainment,297.0,42.45656565656566,9.289551980761829,22.5,35.1,42.5,48.2,65.2
pisa_avg,270.0,481.7925925925926,25.39807278240158,403.3,474.7,485.65,500.3,525.3
rd_expenditure,297.0,1.6704713804713804,0.8887303690893369,0.38,0.98,1.4,2.22,3.64
gini,297.0,29.68585858585859,3.9455502673729694,20.9,26.9,29.2,32.3,40.8
youth_unemployment,297.0,18.425589225589224,9.093334639791657,5.6,11.7,16.9,22.0,53.2
investment_rate,297.0,21.443434343434348,4.0933819762240615,11.0,19.1,21.2,23.7,53.2
