country,year,pisa_avg,education_spending_gdp,education_spending_totalexp,gdp_growth,gdp_per_capita,tertiary_attainment,rd_expenditure,gini,youth_unemployment,investment_rate,region,education_spending_lag3,gdp_growth_volatility,spending_group
Austria,2014,,,,0.8,129.0,38.4,3.11,27.6,11.0,23.0,Western,,,
Austria,2015,492.3,5.0,10.540000000000001,1.3,128.0,38.6,3.07,27.2,11.3,22.9,Western,,0.3535533905932738,Mid
Austria,2016,492.3,4.9,10.52,2.1,128.0,39.7,3.13,27.2,12.0,23.3,Western,,0.6557438524302001,Mid
Austria,2017,492.3,4.9,10.7,2.3,125.0,40.3,3.07,27.9,10.5,23.8,Western,,0.5291502622129178,Mid
Austria,2018,491.0,4.8,10.74,2.5,126.0,40.5,3.11,26.8,10.0,24.3,Western,5.0,0.19999999999999904,Mid
Austria,2019,491.0,4.8,10.76,1.8,124.0,41.6,3.14,27.5,9.1,25.1,Western,4.9,0.36055512754639846,Mid
Austria,2020,491.0,5.1,10.2,-6.3,123.0,41.4,3.21,27.0,11.7,25.1,Western,4.9,4.891148467725482,Mid
Austria,2021,491.0,4.9,9.92,4.9,121.0,42.4,3.26,26.7,11.0,25.9,Western,4.8,5.783021125098312,Mid
Austria,2022,491.3,4.7,10.1,5.3,123.0,43.1,3.17,27.8,9.5,25.2,Western,4.8,6.584831053261731,Mid
Austria,2023,491.3,4.9,10.4,-0.8,121.0,43.5,3.22,28.1,10.4,24.7,Western,5.1,3.412232895529457,Mid
Austria,2024,491.3,5.3,10.76,-0.7,119.0,44.1,3.26,28.4,10.3,23.5,Western,4.9,3.4933269720043874,High
Belgium,2014,,,,1.8,121.0,44.2,2.36,25.9,23.4,22.8,Western,,,
Belgium,2015,502.7,6.3,13.36,1.5,119.0,43.1,2.43,26.2,22.5,23.2,Western,,0.2121320343559642,High
Belgium,2016,502.7,6.3,12.16,1.2,118.0,44.3,2.53,26.3,20.3,23.5,Western,,0.3,High
Belgium,2017,502.7,6.2,12.2,1.5,117.0,45.7,2.68,26.1,19.4,23.5,Western,,0.17320508075688767,High
Belgium,2018,500.0,6.2,11.9,1.9,116.0,47.4,2.86,25.7,16.0,23.8,Western,6.3,0.3511884584284245,High
Belgium,2019,500.0,6.1,11.98,2.4,117.0,47.3,3.15,25.1,14.5,24.2,Western,6.3,0.45092497528228914,High
Belgium,2020,500.0,6.5,11.719999999999999,-4.8,118.0,48.5,3.37,25.3,15.9,24.0,Western,6.2,4.020364825899924,High
Belgium,2021,500.0,6.2,11.680000000000001,6.3,117.0,50.9,3.41,24.1,18.2,23.9,Western,6.2,5.631163290120434,High
Belgium,2022,494.3,6.2,12.040000000000001,4.0,118.0,51.4,3.21,24.7,16.4,23.9,Western,6.1,5.8586118947523165,High
Belgium,2023,494.3,6.3,12.0,1.7,118.0,50.0,3.24,24.3,16.1,24.2,Western,6.5,2.300000000000001,High
Belgium,2024,494.3,6.3,11.919999999999998,1.1,117.0,50.7,3.36,24.6,17.4,24.3,Western,6.2,1.5307950004273394,High
Bulgaria,2014,,,,0.9,48.0,31.3,0.79,35.4,26.9,21.1,CEE,,,
Bulgaria,2015,439.7,3.9,13.133333333333333,3.4,49.0,31.8,0.95,37.0,24.7,20.9,CEE,,1.7677669529663689,Low
Bulgaria,2016,439.7,3.4,15.6,3.0,51.0,32.8,0.77,37.7,20.4,18.4,CEE,,1.3428824718989125,Low
Bulgaria,2017,439.7,3.5,16.266666666666666,2.7,52.0,33.4,0.74,40.2,16.1,18.3,CEE,,0.3511884584284251,Low
Bulgaria,2018,426.7,3.5,15.9,2.3,53.0,34.0,0.76,39.6,15.9,18.8,CEE,3.9,0.351188458428425,Low
Bulgaria,2019,426.7,3.8,16.966666666666665,3.8,55.0,32.6,0.84,40.8,12.1,18.7,CEE,3.4,0.7767453465154031,Low
Bulgaria,2020,426.7,3.9,16.933333333333334,-3.1,57.0,33.1,0.85,40.0,17.5,19.0,CEE,3.5,3.629049462324811,Low
Bulgaria,2021,426.7,4.3,16.766666666666666,7.8,60.0,33.8,0.77,39.7,15.8,16.3,CEE,3.5,5.513921774321189,Low
Bulgaria,2022,414.0,3.9,16.5,4.1,62.0,34.0,0.75,38.4,10.6,17.0,CEE,3.8,5.542863279328954,Low
Bulgaria,2023,414.0,4.1,16.933333333333334,1.7,63.0,35.8,0.79,37.2,12.1,18.7,CEE,3.9,3.0730007050655446,Low
Bulgaria,2024,414.0,4.3,,3.4,66.0,40.5,0.77,38.4,12.3,18.3,CEE,4.3,1.2342339054382419,Low
Croatia,2014,,,,-0.6,60.0,32.3,0.77,30.2,45.7,18.8,CEE,,,
Croatia,2015,475.3,5.0,11.100000000000001,2.3,61.0,30.8,0.82,30.4,42.3,19.1,CEE,,2.0506096654409878,Mid
Croatia,2016,475.3,4.8,11.475,3.5,62.0,32.8,0.85,29.8,30.9,19.6,CEE,,2.107921567168317,Mid
Croatia,2017,475.3,4.8,11.625,3.3,63.0,32.7,0.84,29.9,27.4,19.5,CEE,,0.6429100507328631,Mid
Croatia,2018,471.7,4.8,11.0,2.9,64.0,35.3,0.95,29.7,23.5,20.0,CEE,5.0,0.3055050463303875,Mid
Croatia,2019,471.7,5.2,11.325,3.1,67.0,35.4,1.08,29.2,16.7,21.9,CEE,4.8,0.1999999999999973,High
Croatia,2020,471.7,5.7,10.975,-8.3,66.0,37.0,1.24,28.3,20.6,22.4,CEE,4.8,6.524824390995771,High
Croatia,2021,471.7,5.4,11.375,12.6,70.0,36.2,1.24,29.2,21.5,20.9,CEE,4.8,10.464384039843592,High
Croatia,2022,473.7,5.0,11.649999999999999,7.3,72.0,36.0,1.42,28.5,17.7,21.7,CEE,5.2,10.864774886454542,Mid
